29.06.2026 01:38:31 | Fire=0 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:31 | Fire=1 | Smoke=1
29.06.2026 01:38:32 | Fire=1 | Smoke=1
29.06.2026 01:38:32 | Fire=2 | Smoke=1
29.06.2026 01:38:32 | Fire=1 | Smoke=1
29.06.2026 01:38:32 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=0 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=2 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=2 | Smoke=1
29.06.2026 01:38:33 | Fire=2 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=1 | Smoke=1
29.06.2026 01:38:33 | Fire=0 | Smoke=1
29.06.2026 01:38:33 | Fire=0 | Smoke=1
29.06.2026 01:38:34 | Fire=0 | Smoke=1
29.06.2026 01:38:34 | Fire=0 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=1 | Smoke=1
29.06.2026 01:38:34 | Fire=1 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=1 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:34 | Fire=2 | Smoke=1
29.06.2026 01:38:35 | Fire=1 | Smoke=1
29.06.2026 01:38:35 | Fire=1 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:35 | Fire=1 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:35 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=0 | Smoke=1
29.06.2026 01:38:36 | Fire=1 | Smoke=1
29.06.2026 01:38:37 | Fire=1 | Smoke=0
29.06.2026 01:38:37 | Fire=1 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:37 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:38:38 | Fire=0 | Smoke=1
29.06.2026 01:47:04 | Fire=0 | Smoke=1
29.06.2026 01:47:04 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=2
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=2
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=1
29.06.2026 01:47:05 | Fire=0 | Smoke=2
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
